run,region,n_called,n_truth,tp,precision,recall,f1
636,GRCh38_notinalldifficultregions,1194,867,638,0.5343383584589615,0.7358708189158016,0.6191169335274138
636,GRCh38_notinalllowmapandsegdupregions,1756,1118,812,0.4624145785876993,0.7262969588550984,0.5650661099512875
636,GRCh38_notinsegdups,1756,1123,812,0.4624145785876993,0.7230632235084595,0.5640847516498784
636,GRCh38_segdups,11,38,3,0.2727272727272727,0.07894736842105263,0.12244897959183672
637,GRCh38_alldifficultregions,346,294,232,0.6705202312138728,0.7891156462585034,0.725
637,GRCh38_alllowmapandsegdupregions,58,43,30,0.5172413793103449,0.6976744186046512,0.594059405940594
637,GRCh38_notinalldifficultregions,1032,867,711,0.688953488372093,0.8200692041522492,0.7488151658767772
637,GRCh38_notinalllowmapandsegdupregions,1320,1118,913,0.6916666666666667,0.8166368515205724,0.748974569319114
637,GRCh38_notinsegdups,1325,1123,917,0.6920754716981132,0.8165627782724845,0.7491830065359477
637,GRCh38_segdups,53,38,26,0.49056603773584906,0.6842105263157895,0.5714285714285714
638,GRCh38_alldifficultregions,249,294,212,0.8514056224899599,0.7210884353741497,0.7808471454880295
638,GRCh38_alllowmapandsegdupregions,16,43,12,0.75,0.27906976744186046,0.4067796610169491
638,GRCh38_notinalldifficultregions,824,867,696,0.8446601941747572,0.8027681660899654,0.8231815493790655
638,GRCh38_notinalllowmapandsegdupregions,1057,1118,896,0.847682119205298,0.8014311270125224,0.8239080459770115
638,GRCh38_notinsegdups,1059,1123,896,0.846081208687441,0.7978628673196795,0.8212648945921174
638,GRCh38_segdups,14,38,12,0.8571428571428571,0.3157894736842105,0.46153846153846156
639,GRCh38_alldifficultregions,981,294,242,0.24668705402650357,0.8231292517006803,0.37960784313725493
639,GRCh38_alllowmapandsegdupregions,132,43,34,0.25757575757575757,0.7906976744186046,0.3885714285714286
639,GRCh38_notinalldifficultregions,2250,867,740,0.3288888888888889,0.8535178777393311,0.47481552775104274
639,GRCh38_notinalllowmapandsegdupregions,3099,1118,948,0.3059051306873185,0.8479427549194991,0.4496087265828789
639,GRCh38_notinsegdups,3104,1123,952,0.30670103092783507,0.8477292965271594,0.45043766264490187
639,GRCh38_segdups,127,38,30,0.23622047244094488,0.7894736842105263,0.36363636363636365
640,GRCh38_alldifficultregions,382,294,214,0.5602094240837696,0.7278911564625851,0.6331360946745562
640,GRCh38_alllowmapandsegdupregions,40,43,29,0.725,0.6744186046511628,0.6987951807228916
640,GRCh38_notinalldifficultregions,1040,867,684,0.6576923076923077,0.7889273356401384,0.7173571054011537
640,GRCh38_notinalllowmapandsegdupregions,1382,1118,869,0.6287988422575976,0.7772808586762076,0.6951999999999999
640,GRCh38_notinsegdups,1386,1123,872,0.6291486291486291,0.7764915405164737,0.6950976484655241
640,GRCh38_segdups,36,38,26,0.7222222222222222,0.6842105263157895,0.7027027027027027
641,GRCh38_alldifficultregions,1247,294,229,0.18364073777064957,0.7789115646258503,0.2972096041531473
641,GRCh38_alllowmapandsegdupregions,197,43,32,0.16243654822335024,0.7441860465116279,0.26666666666666666
641,GRCh38_notinalldifficultregions,2052,867,677,0.32992202729044834,0.7808535178777394,0.4638574854402192
641,GRCh38_notinalllowmapandsegdupregions,3102,1118,874,0.28175370728562216,0.7817531305903399,0.414218009478673
641,GRCh38_notinsegdups,3112,1123,878,0.28213367609254497,0.7818343722172751,0.41463990554899643
